"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","390","1082","Nota/aviso","Nota llegar tarde",42,"Mujer","Francia","Francés","Secundaria",1,0,"No","Despuès","voy","VMIP1S","ir",NA,NA,"a la farmacia para comprar los medicamemtes ."
"A1IR.xlsx","781","2176","Nota/aviso","Nota llegar tarde",36,"Mujer","Francia","Francés","Otros",14,36,"No",NA,"Voy","VMIP1S","ir",NA,NA,"a el cine con Emilie a las ocho_de_las_tarde ."
"A1IR.xlsx","326","907","Nota/aviso","Nota llegar tarde",26,"Mujer","Francia","Francés","Universidad",1,2,"Amigos",NA,"Voy","VIIP1S","ir",NA,NA,"a ver la y quedar con ella un_poquito ."
"A1IR.xlsx","836","2330","Correo electrónico","Cambio trabajo",44,"Mujer","Francia","Francés","Universidad",44,4,"Familiares",NA,"Voy","VIIP1S","ir",NA,NA,"a trabajar contigo y soy muy contenta ."
"A1IR.xlsx","775","2158","Nota/aviso","Nota llegar tarde",27,"Mujer","Francia","Francés","Otros",20,6,"Amigos",NA,"Voy","VIIP1S","ir",NA,NA,"ir de copas y bailar salsa com Laure , David , Valerie y Arnao"
"A1IR.xlsx","480","1334","Nota/aviso","Nota llegar tarde",43,"Mujer","Bélgica","Francés","Universidad",1,3,"No",NA,"Voy","VMIP1S","ir",NA,NA,"probablemente llegar muy tarde a la casa ."
"A1IR.xlsx","775","2157","Correo electrónico","Cambio trabajo",27,"Mujer","Francia","Francés","Otros",20,6,"Amigos",NA,"Voy","VIIP1S","ir",NA,NA,"a_menudo bailar salsa ."
"A1IR.xlsx","1463","4138","Correo electrónico","Cambio trabajo",37,"Mujer","Guinea","Francés","Primaria",1,9,"Otros",NA,"Voy","VIIP1S","ir",NA,NA,"que invitar le para salir a la playa porque me chifla los lugares ventilados y creo que voy que sentar"
"A1IR.xlsx","722","2003","Nota/aviso","Nota llegar tarde",29,"Mujer","Francia","Francés","Universidad",1,20,"No",NA,"Voy","VMIP1S","ir",NA,NA,"a el cine con Javier y Esperanza esta tarde ."
"A1IR.xlsx","326","907","Nota/aviso","Nota llegar tarde",26,"Mujer","Francia","Francés","Universidad",1,2,"Amigos",NA,"Voy","VIIP1S","ir",NA,NA,"a llevar en casa tarde despues de el trabajo esta tarde ."
"A1IR.xlsx","326","906","Correo electrónico","Cambio trabajo",26,"Mujer","Francia","Francés","Universidad",1,2,"Amigos",NA,"Voy","VIIP1S","ir",NA,NA,"a conocer vosotros tambien en poco tiempo y me encanta ."
"A1IR.xlsx","371","1028","Correo electrónico","Familia",25,"Mujer","Líbano","Francés","Universidad",24,5,"Amigos&Familiares","Bale , espero que tu","vas","VIIP2S","ir",NA,NA,"a conozcer toda mi familia en el proximo meses ."
"A1IR.xlsx","638","1774","Correo electrónico","Familia",62,"Hombre","Francia","Francés","Universidad",60,11,"Amigos","Este domingo , vienes a la casa de mi padres y","vas","VIIP2S","ir",NA,NA,"a encontrar mi padres , mi dos hermanos y mi hermana ."
"A1IR.xlsx","1239","3495","Correo electrónico","Familia",58,"Hombre","Francia","Francés","Universidad",58,3,"No","tú","vas","VIIP2S","ir",NA,NA,"a encontrar mí familia , tengo te presentar la para conocer la un_poco màs ."
"A1IR.xlsx","636","1767","Nota/aviso","Nota llegar tarde",60,"Mujer","Francia","Francés","Secundaria",58,11,"Amigos",NA,"Vas","VIIP2S","ir",NA,NA,"a buscar algo para comer en la nevera ."
"A1IR.xlsx","2096","5907","Correo electrónico","Familia",52,"Mujer","Francia","Francés","Universidad",52,4,"No","pero Julia","va","VIIP7S","ir",NA,NA,"a estudiar en Paris el derecho y vamos a ver la solo de_vez_en_cuando ."
"A1IR.xlsx","480","1334","Nota/aviso","Nota llegar tarde",43,"Mujer","Bélgica","Francés","Universidad",1,3,"No","Come","va","VMIP7S","ir",NA,NA,"?"
"A1IR.xlsx","390","1083","Correo electrónico","Familia",42,"Mujer","Francia","Francés","Secundaria",1,0,"No","Pauline tiene nueve años ,","va","VMIP7S","ir",NA,NA,"a la escuela Berchet de Tanger ."
